AssignId    SalonId     StaffId     StaffName                                                                                                                                                                                                                                                        StaffCode                                                                                                                                                                                                                                                        Status              
----------- ----------- ----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------
          4           1          36 Monu                                                                                                                                                                                                                                                             STF-000033                                                                                                                                                                                                                                                       Active              
          3           1          37 Tarique                                                                                                                                                                                                                                                          STF-000037                                                                                                                                                                                                                                                       Active              
          2           1          38 Mohsin                                                                                                                                                                                                                                                           STF-000038                                                                                                                                                                                                                                                       Active              
          1           1          39 ABUSAD                                                                                                                                                                                                                                                           STF-000039                                                                                                                                                                                                                                                       Active              
         12           1          40 Shahid                                                                                                                                                                                                                                                           STF-000040                                                                                                                                                                                                                                                       Active              
         13           1          41 Tabrez                                                                                                                                                                                                                                                           STF-000041                                                                                                                                                                                                                                                       Active              
         14           1          42 Asif                                                                                                                                                                                                                                                             STF-000042                                                                                                                                                                                                                                                       Active              
         11           2          36 Monu                                                                                                                                                                                                                                                             STF-000033                                                                                                                                                                                                                                                       Active              
         10           2          39 ABUSAD                                                                                                                                                                                                                                                           STF-000039                                                                                                                                                                                                                                                       Active              
          9           2          37 Tarique                                                                                                                                                                                                                                                          STF-000037                                                                                                                                                                                                                                                       Active              

(10 rows affected)
